State,Fac Ex No,Address Main Entrance,Chicago Preservation Code,Property Category,Estimated Net Assignable Area,Year Acquired,Property Graphic,Building Length,Year Leased,Year Removed,Alternate Address,Estimated Total Net Area,Architect,Property Picture,Ext (IFMA) Gross Area,Comments,City Code,Legal Property Description,Sustainability - Certifications,Primary Assigned,Caretaker,Drawing Type,Removal Status,CSM,Building Height,National Register,Site Code,Fac Ex Abbr,Chicago Landmark,Major Renovation,Estimated Net Non-Assignable Area,CL Justification,Height Comments,Occupancy Classification,FICM Gross Area,City,Property Status,Alternate Property Code,Estimated Temporary Occupancy,Property Code,Physical Property Description,NR Justification,Secondary Assigned,Site Gross,Building Use,Property Name,Responsible Unit,PIN Number,Estimated Permanent Occupancy,Year Constructed,Replaced By,url,Building Width
IL,,5548 South Woodlawn Avenue,Unknown,Garage/Shed,0.00,,,0.00,,1999,,0.00,,,0.00,,,,,Commerical Real Estate (CRE),Inactive,CAD,Sold/Transferred,No,0.00,Unknown,Hyde Park,,Unknown,,0.00,,,,0.00,CHICAGO,Sold/Terminated,,0,C11,,,Unknown,0.00,Residential,5548 Woodlawn Garage,Inactive,Unknown,0,,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=236,0.00
IL,15,5550 South Greenwood Avenue,None,Building,"21,448.00",1974,C13_PHOTO.JPG,52.00,,,,"29,601.00",Edward Larrabee Barnes,,"42,474.47",,,,,Acad Offices,University Facilities Services-North Shop,CAD,NA,Yes,40.00,No,Campus,DASM,No,None; piecemeal internal reconfigurations,"8,153.00",,,C100,"34,539.90",CHICAGO,Owned,,78,C13,,,Unknown,0.00,Other,Smart Museum of Art,University Facilities Services,20-14-104-006,16,1974,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=237,121.00
IL,21,5540 South Greenwood Avenue,None,Building,"8,045.00",1973,C14_PHOTO.JPG,59.00,,,,"11,842.00",Edward Larrabee Barnes,,"14,018.82",,,,,Hum,University Facilities Services-North Shop,CAD,NA,Yes,60.00,No,Campus,CWAC,No,None; piecemeal internal reconfigurations,"3,680.00",,,C302,"14,018.82",CHICAGO,Owned,,65,C14,,,Registrar,0.00,Teaching,Cochrane-Woods Art Center,University Facilities Services,20-14-104-006,24,1973,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=238,136.00
IL,43,5535 South Ellis Avenue,Green,Building,"8,001.00",1981,C15_PHOTO.JPG,78.00,,,,"10,299.00",Harry Weese and Assoc.,,"19,186.68",,,,,Acad Offices,University Facilities Services-North Shop,CAD,NA,Yes,24.00,No,Campus,,No,None,"2,298.00",,"plus 6'-8"" to top of penthouse",C302,"12,181.64",CHICAGO,Owned,,251,C15,,,Unknown,0.00,Other,Court Theatre,University Facilities Services,20-14-104-006,2,1981,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=239,136.00
IL,,5530 South University Avenue,None,Athletic Field,0.00,,C16_PHOTO.JPG,0.00,,,,0.00,University Staff,,0.00,,,,,Student Services,Other,CAD,NA,Yes,0.00,No,Campus,,No,,0.00,,,,0.00,CHICAGO,Demolished,,0,C16,,,Unknown,"86,300.00",Non-Building,North Field,University Facilities Services,20-14-105-007,0,1924,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=240,0.00
IL,,5514 South University Avenue,Unknown,Parking Lot,0.00,,,0.00,,,,0.00,,,0.00,,,,,FS Parking,Other,CAD,NA,Yes,0.00,Unknown,Campus,,Unknown,,0.00,,,,0.00,CHICAGO,Demolished,,0,C17,,,Unknown,0.00,Parking,Pierce Parking Lot,University Facilities Services,,0,,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=241,0.00
IL,,55th and Ellis Avenue,Unknown,Parking Lot,0.00,,,0.00,,2001,,0.00,,,0.00,,,,,FS Parking,Inactive,CAD,Demolished,No,0.00,Unknown,Campus,,Unknown,,0.00,,,,0.00,CHICAGO,Demolished,,0,C18,,,Unknown,0.00,Parking,55th and Ellis Parking Lot,Inactive,,0,,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=242,0.00
IL,,5555 South Ellis Avenue,Unknown,Parking Lot,0.00,,,0.00,,,,0.00,,,0.00,,,,,FS Parking,Other,CAD,NA,Yes,0.00,Unknown,Campus,,Unknown,,0.00,,,,0.00,CHICAGO,Owned,,0,C19,,,Unknown,0.00,Parking,Young Parking Lot,University Facilities Services,20-14-104-006,0,,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=243,0.00
IL,,1100 East 57th Street,Unknown,Parking Lot,0.00,,,0.00,,,,0.00,,,0.00,,,,,FS Parking,Inactive,CAD,Demolished,No,0.00,Unknown,Campus,,Unknown,,0.00,,,,0.00,CHICAGO,Demolished,,0,C20,,,Unknown,0.00,Parking,Regenstein Parking Lot,Inactive,,0,,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=244,0.00
IL,,5638 South Woodlawn Avenue,Unknown,Building,0.00,,,0.00,,,,0.00,,,0.00,,,,,GSB,Inactive,CAD,Lease Terminated,No,0.00,Unknown,Hyde Park,,Unknown,,0.00,,,,0.00,CHICAGO,Sold/Terminated,,0,C24,,,Unknown,0.00,ACADOffice,Fenn House,Inactive,,0,,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=245,0.00
IL,,1100 East 57th Street,None,Building,"36,239.00",2011,C25_PHOTO.JPG,236.00,,,,"52,538.00",Murphy/Jahn,,"83,328.06",,,,,Library,Unknown,CAD,NA,Yes,32.00,No,Campus,,No,None,"16,299.00",,,C302,"64,028.21",CHICAGO,Owned,,58,C25,,,Unknown,0.00,Library,Joe and Rika Mansueto Library,University Facilities Services,20-14-111-001,13,2011,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=246,129.00
IL,,5500 South University Avenue,None,Building,"220,837.00",2016,,0.00,,,,"335,379.00",Studio Gang Architects,,"419,218.60",,,,,Housing and Dining Services (HDS),University Facilities Services-North Shop,CAD,NA,Unknown,0.00,No,Campus,CNRC,No,,"114,542.00",,,A200,"419,218.60",CHICAGO,Owned,,713,C26,,,Unknown,0.00,Dormitory,Campus North Residential Commons,Housing and Dining Services,"20-14-105-001,2,7,8",821,2016,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=247,0.00
IL,,5600 South Woodlawn Avenue,Unknown,Building,"4,425.00",,,0.00,,2012,,"4,836.00",,,"2,477.39",,,,,BSD,Other,CAD,Lease Terminated,No,0.00,Unknown,Hyde Park,,Unknown,,411.00,,,,"2,477.39",CHICAGO,Sold/Terminated,,0,C30,,,Unknown,0.00,ACADOffice,Hyde Park Union Church,Chicago Biology and  Medicine,,0,,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=248,0.00
IL,,5505 South Ellis Avenue,None,Parking Structure,"20,060.00",2002,C31_PHOTO.JPG,187.00,,,,"345,495.00",Cesar Pelli,,"364,528.27",,,,,FS Parking,Other,CAD,NA,Yes,61.00,No,Campus,,No,None; piecemeal reconfigurations of ground floor,"325,435.00",,,J100,"364,528.27",CHICAGO,Owned,,21,C31,,,Student Services,0.00,Parking,Campus North Parking Structure,University Facilities Services,"20-14-104-001,5,6,7",26,2002,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=249,337.00
IL,,5625 S. Ellis Avenue,None,Building,"35,123.00",2001,C32_PHOTO.JPG,175.00,,,,"54,164.00",Riccardo Legorreta,,"69,144.85",,,,,Housing and Dining Services (HDS),Housing and Dining Services,CAD,NA,No,60.00,Unknown,Campus,,No,,"19,041.00",,,A200,"66,996.46",CHICAGO,Owned,,0,C32,,,Unknown,0.00,Dormitory,Max Palevsky Commons A/West,Housing and Dining Services,20-14-111-001/2/3,139,2001,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=250,150.00
IL,,1101 East 56th Street,None,Building,"53,091.00",2002,C33_PHOTO.JPG,57.00,,,,"78,726.00",Riccardo Legorreta,,"98,333.24",,,,,Housing and Dining Services (HDS),Housing and Dining Services,CAD,NA,No,60.00,Unknown,Campus,,No,,"25,635.00",,,A200,"95,682.00",CHICAGO,Owned,,0,C33,,,Unknown,0.00,Dormitory,Max Palevsky Commons B/Center,Housing and Dining Services,20-14-111-001/2/3,226,2002,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=251,337.00
IL,,5630 University Avenue,None,Building,"74,474.00",2002,C34_PHOTO.JPG,242.00,,,,"105,131.00",Riccardo Legorreta,,"139,101.20",,,,,Housing and Dining Services (HDS),Housing and Dining Services,CAD,NA,No,60.00,Unknown,Campus,,No,,"30,657.00",,,A200,"136,811.78",CHICAGO,Owned,,0,C34,,,Unknown,0.00,Dormitory,Max Palevsky Commons C/East,Housing and Dining Services,20-14-111-001/2/3,287,2002,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=252,219.00
IL,,5639 South University Avenue,Unknown,Building,0.00,,,0.00,,,,0.00,,,0.00,,,,,Non-UNIV,Other,CAD,NA,No,0.00,Unknown,Hyde Park,,Unknown,,0.00,,,,0.00,CHICAGO,Serviced,,0,C35,,,Unknown,0.00,Residential,Psi Upsilon,Other,,0,,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=253,0.00
IL,,1156 East 57th Street,Unknown,Building,0.00,,,0.00,,,,0.00,,,0.00,,,,,Non-UNIV,Other,CAD,NA,No,0.00,Unknown,Hyde Park,,Unknown,,0.00,,,,0.00,CHICAGO,Serviced,,0,C37,,,Unknown,0.00,Other,Disciples Divinity House,Other,,0,,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=254,0.00
IL,,5655 South University Avenue,Unknown,Building,0.00,,,0.00,,,,0.00,Howard Van Doren Shaw,,0.00,,,,,Non-UNIV,Other,CAD,NA,No,0.00,Unknown,Hyde Park,,Unknown,,0.00,,,,0.00,CHICAGO,Serviced,,0,C38,,,Unknown,0.00,Other,University Church,Other,,0,1923,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=255,0.00
IL,,"55th-57th Streets, Ellis-Woodlawn",Unknown,Grounds,0.00,,,0.00,,,,0.00,,,0.00,,,,,FS,Other,CAD,NA,Yes,0.00,Unknown,Campus,,Unknown,,0.00,,,,0.00,CHICAGO,Owned,,0,CG,,,Unknown,21.81,Non-Building,C Grid Grounds,University Facilities Services,See buildings,0,,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=256,0.00
,,57th & Greenwood,None,Grounds,0.00,,CG02_PHOTO.JPG,0.00,,,,0.00,"Walter Netch of Skidmore, Ownings & Merill",,0.00,,,,,Unknown,Unknown,CAD,NA,Unknown,0.00,No,Campus,,No,2008 by Ketelkamp and Kettelkamp,0.00,,,UNK,0.00,,Owned,,0,CG02,,,Unknown,"25,800.00",Non-Building,Regenstein Entry Garden,Unknown,20-14-111-001-0000,0,1970,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=257,0.00
,,56th & Greenwood,None,Grounds,0.00,,CG03_PHOTO.JPG,0.00,,,,0.00,Richard Bumstead,,0.00,,,,,Unknown,Unknown,CAD,NA,Unknown,0.00,No,Campus,,No,2000 with construction of Max Palevsky by Sasaki,0.00,,,UNK,0.00,,Owned,,0,CG03,,,Unknown,"9,900.00",Non-Building,Jean Block Garden,Unknown,20-14-111-001-0000,0,1988,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=258,0.00
,,57th & University,None,Grounds,0.00,,CG04_PHOTO.JPG,0.00,,,,0.00,Sasaki and Associates,,0.00,,,,,Unknown,Unknown,CAD,NA,Unknown,0.00,No,Campus,,No,,0.00,,,UNK,0.00,,Owned,,0,CG04,,,Unknown,"51,100.00",Non-Building,Bartlett Quad,Unknown,20-14-111-002 & 003,0,2002,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=259,0.00
,,56th Street from Ellis to University,None,Grounds,0.00,,CG05_PHOTO.JPG,0.00,,,,0.00,Ricardo Legoretta,,0.00,,,,,Unknown,Unknown,CAD,NA,Unknown,0.00,No,Campus,,No,none,0.00,,,UNK,0.00,,Owned,,0,CG05,,,Unknown,"28,000.00",Non-Building,Max Palevsky Courtyards,Unknown,"20-14-111-001,2,& 3",0,1999,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=260,0.00
,,5550 South Greenwood Avenue,None,Grounds,0.00,,CG06_PHOTO.JPG,0.00,,,,0.00,Chandra Goldsmith Gray,,0.00,,,,,Unknown,Unknown,CAD,NA,Unknown,0.00,No,Campus,,No,"1988, 2010",0.00,,,UNK,0.00,,Owned,,0,CG06,,,Unknown,"15,400.00",Non-Building,Elden Sculpture Garden,Unknown,20-14-104-006-0000,0,1974,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=261,0.00
,,NE of 56th & Ellis,Unknown,Grounds,0.00,,,0.00,,,,0.00,,,0.00,,,,,Unknown,Unknown,CAD,NA,Unknown,0.00,Unknown,Campus,,Unknown,,0.00,,,UNK,0.00,,Owned,,0,CG07,,,Unknown,0.00,Non-Building,Avant Garden,Unknown,20-14-104-006-0000,0,,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=262,0.00
,,NW of 57th & University,Unknown,Grounds,0.00,,,0.00,,,,0.00,,,0.00,,,,,Unknown,Unknown,CAD,NA,Unknown,0.00,Unknown,Campus,,Unknown,,0.00,,,UNK,0.00,,Owned,,0,CV50,,,Unknown,0.00,Non-Building,Vault at Bartlett (South),Unknown,,0,,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=263,0.00
,,NW of 57th & University,Unknown,Grounds,0.00,,,0.00,,,,0.00,,,0.00,,,,,Unknown,Unknown,CAD,NA,Unknown,0.00,Unknown,Campus,,Unknown,,0.00,,,UNK,0.00,,Owned,,0,CV51,,,Unknown,0.00,Non-Building,Vault at Bartlett (North),Unknown,,0,,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=264,0.00
,,NE of 57th & University,Unknown,Grounds,0.00,,,0.00,,,,0.00,,,0.00,,,,,Unknown,Unknown,CAD,NA,Unknown,0.00,Unknown,Campus,,Unknown,,0.00,,,UNK,0.00,,Owned,,0,CV52,,,Unknown,0.00,Non-Building,Vault West of Psi Upsilon,Unknown,,0,,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=265,0.00
,,NE of 57th & University,Unknown,Grounds,0.00,,,0.00,,,,0.00,,,0.00,,,,,Unknown,Unknown,CAD,NA,Unknown,0.00,Unknown,Campus,,Unknown,,0.00,,,UNK,0.00,,Owned,,0,CV53,,,Unknown,0.00,Non-Building,Vault North of DDH,Unknown,,0,,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=266,0.00
,,SW of 56th & University,Unknown,Grounds,0.00,,,0.00,,,,0.00,,,0.00,,,,,Unknown,Unknown,CAD,NA,Unknown,0.00,Unknown,Campus,,Unknown,,0.00,,,UNK,0.00,,Owned,,0,CV54,,,Unknown,0.00,Non-Building,Vault at Max Palevsky (SE),Unknown,,0,,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=267,0.00
,,SW of 56th & University,Unknown,Grounds,0.00,,,0.00,,,,0.00,,,0.00,,,,,Unknown,Unknown,CAD,NA,Unknown,0.00,Unknown,Campus,,Unknown,,0.00,,,UNK,0.00,,Owned,,0,CV55,,,Unknown,0.00,Non-Building,Vault at Max Palevsky (East),Unknown,,0,,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=268,0.00
,,SW of 56th & University,Unknown,Grounds,0.00,,,0.00,,,,0.00,,,0.00,,,,,Unknown,Unknown,CAD,NA,Unknown,0.00,Unknown,Campus,,Unknown,,0.00,,,UNK,0.00,,Owned,,0,CV56,,,Unknown,0.00,Non-Building,Vault at Max Palevsky (NE),Unknown,,0,,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=269,0.00
,,NE of 56th & Ellis,Unknown,Grounds,0.00,,,0.00,,,,0.00,,,0.00,,,,,Unknown,Unknown,CAD,NA,Unknown,0.00,Unknown,Campus,,Unknown,,0.00,,,UNK,0.00,,Owned,,0,CV57,,,Unknown,0.00,Non-Building,Vault SW of Young,Unknown,,0,,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=270,0.00
IL,62,1155 East 57th Street,Orange,Building,"18,289.00",2008,D01_PHOTO.JPG,76.00,,,,"26,652.00",Howard Van Doren Shaw,,"32,416.53",,,,,Affiliated,Other,CAD,NA,Yes,42.00,No,Campus,Q,No,Unknown,"8,363.00","Color coded ""Orange - possesses potentially significant architectural or historical features.""","plus 7'-9"" to top of chimney",A200,"32,416.53",CHICAGO,Owned,,240,D01,,The building is referred to in Appendix II as Works Not Specifically Mentioned in Nomination Form,Unknown,0.00,Commerical,Quadrangle Club,University Facilities Services,20-14-116-001,34,1920,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=271,145.00
IL,,1131 East 57th Street,Orange,Building,"1,742.00",1903,D02_PHOTO.JPG,33.00,,,,"1,917.00",Shepley Rutan and Coolidge,,"2,804.52",,,,,Student Services,University Facilities Services-Hull Court Shop,CAD,NA,Yes,127.25,No,Campus,,No,Piecemeal reconfigurations and refurbishments,175.00,Possesses potentially significant architectural or historic features,,C200,"2,804.52",CHICAGO,Owned,,0,D02,,"Architectural significance, item #118 on the district nomination form",Unknown,0.00,Student Life/Services,Mitchell Tower,University Facilities Services,20-14-111-001,0,1903,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=272,31.00
IL,56,5706 South University Avenue,Orange,Building,"16,591.00",1903,D03_PHOTO.JPG,173.00,,,,"26,602.00",Shepley Rutan and Coolidge,,"33,365.47",,,,,Student Services,University Facilities Services-Hull Court Shop,CAD,NA,Yes,51.33,No,Campus,RC,No,Piecemeal reconfigurations and refurbishments,"10,011.00",Possesses potentially significant architectural or historic features,plus 7' to top of pinnacle,C302,"32,792.13",CHICAGO,Owned,,293,D03,,"Architectural significance, item #137 on the district nomination form",Unknown,0.00,Student Life/Services,Reynolds Clubhouse,University Facilities Services,20-14-111-001,30,1903,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=273,66.00
IL,,1131 East 57th Street,Orange,Building,"17,275.00",1903,D04_PHOTO.JPG,96.00,,,,"24,608.00",Shepley Rutan and Coolidge,,"29,871.98",,,,,Student Services,University Facilities Services-Hull Court Shop,CAD,NA,Yes,57.00,No,Campus,,No,Piecemeal reconfigurations and refurbishments,"7,333.00",Possesses potentially significant architectural or historical features,plus 12' to top of pinnicle,C302,"29,871.98",CHICAGO,Owned,,291,D04,,"Architectural significance, #118 on district nomination form.",Unknown,0.00,Student Life/Services,Hutchinson Commons,University Facilities Services,20-14-111-001,9,1903,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=274,179.00
IL,73,1101 East 57th Street,Orange,Building,"19,504.00",1897,D05_PHOTO.JPG,79.00,,,,"31,131.00",Henry Ives Cobb,,"39,133.85",,,,,BSD,University Facilities Services-Hull Court Shop,CAD,NA,Yes,85.00,No,Campus,Z,No,Piecemeal renovations and reconfigurations,"11,627.00",Possesses potentially siginificant architectural or historical features,gable,C302,"39,133.85",CHICAGO,Owned,,68,D05,,"Architectural significance, item #108 on the district nomination form",Unknown,0.00,Laboratory,Zoology Building,Chicago Biology and  Medicine,20-14-111-001,36,1897,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=275,122.00
IL,01,1027 East 57th Street,Orange,Building,"19,078.00",1897,D06_PHOTO.JPG,52.00,,,,"27,189.00",Henry Ives Cobb,,"36,878.89",,,,,BSD,University Facilities Services-Hull Court Shop,CAD,NA,Yes,77.00,No,Campus,A,No,Piecemeal renovations and reconfigurations,"8,111.00",Possesses potentially significant architectural or historic features,plus cupola,C302,"36,878.89",CHICAGO,Owned,,53,D06,,"Architectural significance, item #112 on district nomination form",Unknown,0.00,ACADOffice,Anatomy Building,Chicago Biology and  Medicine,20-14-111-001,39,1897,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=276,121.00
IL,,1009 East 57TH Street,Orange,Building,"28,317.00",1902,D07_PHOTO.JPG,77.00,,,,"35,840.00",Dwight Perkins,,"51,441.62",,,,,Housing and Dining Services (HDS),Housing and Dining Services,CAD,NA,No,75.00,Yes,Campus,,No,Unknown,"7,523.00",Possesses potentially significant architectural or historical features,gable,A200,"51,441.62",CHICAGO,Owned,,14,D07,,"Entered on National Register, 30 December 1974, item #98 on district nomination form",Unknown,0.00,Dormitory,Hitchcock Hall,Housing and Dining Services,20-14-111-001,138,1902,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=277,204.00
IL,,5709 Ellis Avenue,Orange,Building,"13,658.00",1893,D08_PHOTO.JPG,86.00,,,,"16,951.00",Henry Ives Cobb,,"22,395.34",,,,,Housing and Dining Services (HDS),Housing and Dining Services,CAD,NA,No,70.00,No,Campus,,No,Unknown,"3,293.00",Possesses potentially significant architectural or historical features,gable,A200,"22,395.34",CHICAGO,Owned,,13,D08,,"Architectural significance, item #110 on district nomination form",Unknown,0.00,Dormitory,Snell Hall,Housing and Dining Services,20-14-111-001,70,1893,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=278,49.00
IL,63,5715-35 South Ellis Avenue,None,Building,"43,034.00",1968,D09_PHOTO.JPG,234.00,,,,"73,125.00",Smith Haines Lundberg & Waehler,,"86,506.39",,,,LEED Certified Gold - New Construction,PSD,University Facilities Services-North Shop,CAD,NA,Yes,71.00,No,Campus,SCL,No,2009 gut/rebuild by William Wilson Assoc.,"30,091.00",None,plus 6' to top of stacks,E100,"86,506.39",CHICAGO,Owned,,170,D09,,Not listed on district nomination form,Unknown,0.00,Laboratory,Searle Chemistry Laboratory,University Facilities Services,20-14-111-001,93,1968,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=279,122.00
IL,14,1025 East 57th Street,Orange,Building,"16,589.00",1897,D10_PHOTO.JPG,103.00,,,,"23,038.00",Henry Ives Cobb,,"30,125.58",,,,,BSD,University Facilities Services-Hull Court Shop,CAD,NA,Yes,75.58,No,Campus,CH,No,Piecemeal renovations and reconfiguration,"6,449.00",Possesses potential architectural or historical features,gable,C302,"30,125.58",CHICAGO,Owned,,48,D10,,"Architectural significance, item #113 on district nomination form",Unknown,0.00,ACADOffice,Culver Hall,Chicago Biology and  Medicine,20-14-111-001,36,1897,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=280,94.00
IL,25,1103 East 57th Street,Orange,Building,"13,461.00",1897,D11_PHOTO.JPG,102.00,,,,"21,137.00",Henry Ives Cobb,,"28,417.03",,,,,BSD,University Facilities Services-Hull Court Shop,CAD,NA,Yes,77.75,No,Campus,EB,No,Piecemeal renovations and reconfiguration,"7,676.00",Possesses potentially significant architectural or historical features,plus cupola,C302,"28,417.03",CHICAGO,Owned,,47,D11,,"Architectural significance, item #111 on district nomination form",Unknown,0.00,Laboratory,Erman Biology Center,Chicago Biology and  Medicine,20-14-111-001,12,1897,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=281,51.00
IL,,1131 East 57th Street,Orange,Building,"12,654.00",1903,D12_PHOTO.JPG,131.00,,,,"24,001.00",Shepley Rutan and Coolidge,,"36,128.93",,,,,Student Services,University Facilities Services-Hull Court Shop,CAD,NA,Yes,63.50,No,Campus,,No,1982 SOM; 2012 McGuire Igleski,"11,347.00",Possesses potentially significant architectural and historical features,gable,C100,"31,453.73",CHICAGO,Owned,,985,D12,,"Architectural significance, item #120 on district nomination form",Unknown,0.00,Student Life/Services,Mandel Hall,University Facilities Services,20-14-111-001,1,1903,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=282,83.00
IL,,5727 South University Avenue,Orange,Building,"6,713.00",1927,D13_PHOTO.JPG,50.00,,,,"13,836.00",Hugh M.G. Garden,,"17,939.18",,,,,PSD,University Facilities Services-Hull Court Shop,CAD,NA,Yes,42.00,No,Campus,5727,No,2010 - gut/renovation with addition,"7,123.00",Listed,gable,C302,"17,939.18",CHICAGO,Owned,,131,D13,,1897 (moved from 5757 in 1927) Architectural and Historical (Letters) Significance.,Unknown,0.00,ACADOffice,5727 South University Avenue,University Facilities Services,20-14-116-002,45,1897,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=283,81.00
IL,,5733 South University Avenue,Orange,Building,"5,006.00",1942,D14_PHOTO.JPG,30.00,,,,"8,901.00",Henry K. Holsman,,"11,176.90",,,,,SSD,University Facilities Services-Hull Court Shop,CAD,NA,Yes,38.00,No,Campus,,No,2013; 2002,"3,895.00",Possesses potentially significant architectural or historical features,Estimated height: 3 floors + porch + gable,C302,"11,176.90",CHICAGO,Owned,,10,D14,,Not listed on district nomination form,Unknown,0.00,ACADOffice,5733 South University Avenue,University Facilities Services,20-14-116-003,29,1903,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=284,98.00
IL,,5740 South Woodlawn Avenue,Orange,Building,"2,713.00",1924,D15_PHOTO.JPG,43.00,,,,"4,822.00",Patton and Fisher,,"6,235.69",,,,,SSD,University Facilities Services-Hull Court Shop,CAD,NA,Yes,37.00,No,Campus,,No,2015,"2,109.00",Listed,Estimated height: 3 floors + porch + parapet,C303,"6,235.69",CHICAGO,Owned,O30,6,O30,,"Architectural Significance, item #85 on district nomination form",Unknown,0.00,ACADOffice,5740 South Woodlawn Avenue,University Facilities Services,20-14-116-016,13,1895,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=285,74.00
IL,23,1118-32 East 58th Street,Orange,Building,"32,650.00",1930,D16_PHOTO.JPG,147.00,,,,"50,436.00",Charles Z. Klauder,,"61,715.43",,,,,PSD,University Facilities Services-Hull Court Shop,CAD,NA,Yes,80.00,No,Campus,E,No,Unknown; 1986?,"17,786.00",Possesses potentially significant architectural or historical features,gable,C302,"61,715.43",CHICAGO,Owned,,424,D16,,"Architectural significance, item #181 on district nomination form",Registrar,0.00,ACADOffice,Eckhart Hall,University Facilities Services,20-14-111-001,144,1930,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=286,163.00
